title,year,language,period,opening_weekend_cr,opening_weekend_note,wide_release_flag,genre,genre_primary,certification,cert_subband,has_certification,runtime_minutes,theatrical_release,festival_release,cast,director,production,star_power_flag,star_prior_mean_log,star_prior_count,lead_cast_popularity,popularity,sequel_flag,release_weekday,release_month,rating,rating_count,total_gross,india_net,overseas,budget,budget_cr,sacnilk_slug,wiki_title,tmdb_id
Jayeshbhai Jordaar,2022,Hindi,post_covid,12.0,ok,True,"Comedy, Drama",Comedy,UA,UA,True,124.0,13 May 2022,False,Boman Irani; Ranveer Singh; Shalini Pandey; Ratna Pathak Shah,Divyang Thakkar,Yash Raj Films,1,4.173497488767946,6,2.1752,1.1988,0,Friday,5,6.034,29.0,Rs17.5 Cr,Rs17.91 Cr,Rs3.45 Cr,Rs1.0 Cr,,Jayeshbhai_Jordaar_2020,Jayeshbhai Jordaar,678999.0
Jersey,2022,Hindi,post_covid,11.799999952316284,ok,True,"Drama, Sports",Drama,,,False,170.0,22 Apr 2022,False,Shahid Kapoor; Pankaj Kapoor; Mrunal Thakur,Gowtam Tinnanuri,Sithara Entertainments,1,3.9913302026460684,3,1.623,1.2928,0,Friday,4,7.0,51.0,Rs30.75 Cr,Rs20.85 Cr,Rs5.75 Cr,Rs60.0 Cr,60.0,Jersey_2020,Jersey (2022 film),679018.0
Attack - Part 1,2022,Hindi,post_covid,11.509999990463257,ok,True,"Action, Thriller",Action,UA,UA,True,123.0,01 Apr 2022,False,Prakash Raj; Kiran Kumar; John Abraham; Ratna Pathak Shah; Jacqueline Fernandez; Rakul Preet Singh,Lakshya Raj Anand,Pen Movies,1,3.1738670743279465,7,2.0226,2.2927,1,Friday,4,6.761,224.0,Rs22.0 Cr,Rs17.35 Cr,Rs3.2 Cr,Rs55.0 Cr,55.0,Attack_2020,Attack: Part 1,799155.0
Thank God,2022,Hindi,post_covid,11.0,ok,True,Comedy,Comedy,UA,UA,True,121.0,25 Oct 2022,True,Sidharth Malhotra; Sumit Gulati; Ajay Devgn; Seema Pahwa; Rakul Preet Singh,Indra Kumar,T-Series,1,3.8640721571960426,10,2.4951,1.581,0,Tuesday,10,6.3,35.0,Rs48.99 Cr,Rs36.35 Cr,Rs6.5 Cr,Rs70.0 Cr,70.0,Thank_God_2021,Thank God (film),783723.0
Phone Bhoot,2022,Hindi,post_covid,7.849999904632568,ok,True,"Comedy, Horror",Comedy,UA,UA,True,136.0,04 Nov 2022,False,Ishaan Khattar; Siddhant Chaturvedi; Katrina Kaif; Sheeba Chaddha,Gurmmeet Singh,Excel Entertainment,1,4.095510512029634,1,1.2658,1.4201,0,Friday,11,5.3,34.0,Rs17.62 Cr,Rs12.81 Cr,Rs2.5 Cr,Rs25.0 Cr,25.0,Phone_Bhoot_2021,Phone Bhoot,726207.0
Badhaai Do,2022,Hindi,post_covid,7.820000052452087,ok,True,"Comedy, Drama",Comedy,UA,UA,True,147.0,11 Feb 2022,False,Rajkummar Rao; Nitesh Pandey; Sheeba Chaddha; Bhumi Pednekar; Seema Pahwa,Harshavardhan Kulkarni,Junglee Pictures,1,2.1281823726215046,10,1.2658,1.2357,0,Friday,2,6.832,98.0,Rs28.15 Cr,Rs21.29 Cr,Rs3.0 Cr,Rs30.0 Cr,30.0,Badhaai_Do_2021,Badhaai Do,754716.0
Chup,2022,Hindi,post_covid,7.379999876022339,ok,True,"Psychological, Thriller",Psychological,A,A,True,164.0,23 Sep 2022,False,Sunny Deol; Dulquer Salmaan; Shreya Dhanwanthary; Pooja Bhatt,R. Balki,Pen India Limited,1,2.049728237054138,5,1.8123,0.8523,0,Friday,9,6.725,51.0,Rs19.0 Cr,Rs11.6 Cr,Rs5.3 Cr,Rs25.0 Cr,25.0,Chup_2022,Chup Chup Ke,883125.0
Jhund,2022,Hindi,post_covid,6.5,ok,True,"Drama, Sports",Drama,UA,UA,True,176.0,04 Mar 2022,False,Akash Thosar; Amitabh Bachchan; Rinku Rajguru,Nagraj Manjule,T-Series,1,3.0735935790761304,5,1.3777,1.1388,0,Friday,3,6.769,26.0,Rs23.0 Cr,Rs14.7 Cr,Rs5.7 Cr,Rs1.0 Cr,,Jhund_2020,Jhund (film),665685.0
Anek,2022,Hindi,post_covid,6.259999990463257,ok,True,Thriller,Thriller,UA,UA,True,147.0,27 May 2022,False,Ayushmann Khurrana; Manoj Pahwa; Kumud Mishra; J. D. Chakravarthy; Andrea Kevichüsa,Anubhav Sinha,T-Series,1,3.466862455096013,8,1.1211,2.289,0,Friday,5,6.107,28.0,Rs9.0 Cr,Rs9.05 Cr,Rs1.7 Cr,Rs1.0 Cr,,Anek_2021,Anek,888268.0
Khuda Haafiz Chapter II,2022,Hindi,post_covid,6.150000095367432,ok,True,"Action, Thriller",Action,,,False,149.0,08 Jul 2022,False,Rajesh Tailang; Vidyut Jammwal; Dibyendu Bhattacharya; Shivaleeka Oberoi; Rukhsar Rehman; Sheeba Chaddha,Faruk Kabir,Panorama Studios,1,2.8298290760234495,2,,,1,Friday,7,,,Rs15.4 Cr,Rs12.86 Cr,Rs2.2 Cr,Rs1.0 Cr,,Khuda_Haafiz_Chapter_II_2021,Khuda Haafiz: Chapter 2 – Agni Pariksha,
An Action Hero,2022,Hindi,post_covid,5.990000009536743,ok,True,"Action, Romantic",Action,UA,UA,True,130.0,02 Dec 2022,False,Jaideep Ahlawat; Ayushmann Khurrana,Anirudh Iyer Ganapathy,T-Series,1,3.0659563397791074,10,1.3977,1.5495,0,Friday,12,6.5,83.0,Rs16.85 Cr,Rs11.3 Cr,Rs3.5 Cr,Rs30.0 Cr,30.0,Action_Hero_2022,An Action Hero,882826.0
Rashtra Kavach: OM,2022,Hindi,post_covid,5.110000014305115,ok,True,"Action, Thriller",Action,UA,UA,True,135.0,01 Jul 2022,False,Jackie Shroff; Ashutosh Rana; Aditya Roy Kapur; Prakash Raj; Sanjana Sanghi,Kapil Verma,Zee Studio,1,3.815430783374927,6,2.7656,1.6635,0,Friday,7,4.9,13.0,Rs4.8 Cr,Rs8.25 Cr,Rs1.0 Cr,Rs1.0 Cr,,Om_2021,Rashtra Kavach Om,764928.0
Major,2022,Hindi,post_covid,4.659999966621399,ok,True,Biography,Biography,,,False,146.0,03 Jun 2022,False,Adivi Sesh; Murali Sharma; Prakash Raj; Revathi; Sobhita Dhulipala; Saiee Manjrekar,Sashi Kiran Tikka,Sony Pictures Networks,1,3.1608457974729087,11,2.9593,2.7226,0,Friday,6,6.672,180.0,Rs60.75 Cr,Rs12.96 Cr,Rs13.0 Cr,Rs30.0 Cr,30.0,Major_2021,Major (film),29715.0
Goodbye,2022,Hindi,post_covid,3.8600000143051143,ok,True,"Comedy, Drama",Comedy,,,False,142.0,07 Oct 2022,False,Pavail Gulati; Shivin Narang; Amitabh Bachchan; Rashmika Mandanna; Neena Gupta,Vikas Bahl,Reliance Entertainment,1,2.9553725531207657,9,0.3699,1.2602,0,Friday,10,8.0,2.0,Rs10.55 Cr,Rs6.82 Cr,Rs2.5 Cr,Rs25.0 Cr,25.0,Good_Bye_2022,Goodbye (2022 film),1218872.0
Dhaakad,2022,Hindi,post_covid,3.2300000190734863,ok,True,Action,Action,A,A,True,131.0,20 May 2022,False,Saswata Chatterjee; Arjun Rampal; Kangana Ranaut; Divya Dutta,Razneesh Ghai,Sohum Rockstar Entertainment,1,3.349008340587351,3,1.8257,1.3218,0,Friday,5,4.714,14.0,₹0.00 Cr,Rs4.01 Cr,₹0.00 Cr,Rs1.0 Cr,90.6595554,Dhaakad_2020,Dhaakad,712863.0
Dobaaraa,2022,Hindi,post_covid,2.9800000190734863,ok,True,Thriller,Thriller,,,False,132.0,19 Aug 2022,False,Pavail Gulati; Saswata Chatterjee; Nassar; Rahul Bhat; Taapsee Pannu,Anurag Kashyap,Vermillion World Production,1,2.7511096960435437,4,0.9662,1.0143,0,Friday,8,5.2,30.0,Rs1.1 Cr,Rs4.79 Cr,Rs0.15 Cr,Rs1.0 Cr,,Dobaaraa_2021,Dobaaraa,796207.0
Dhokha: Round D Corner,2022,Hindi,post_covid,2.4799999594688416,ok,True,"Drama, Thriller",Drama,UA,UA,True,112.0,23 Sep 2022,False,R. Madhavan; Darshan Kumar; Aparshakti Khurana; Khushali Kumar,Kookie Gulati,T-Series,1,3.6648428811700704,2,1.5282,1.1525,0,Friday,9,5.383,30.0,Rs4.4 Cr,Rs3.25 Cr,Rs0.7 Cr,Rs20.0 Cr,20.0,Dhokha_2022,Dhokha: Round D Corner,1005581.0
Janhit Mein Jaari,2022,Hindi,post_covid,2.189999997615814,ok,True,Comedy,Comedy,UA,UA,True,146.0,10 Jun 2022,False,Anud Singh Dhaka; Vijay Raaz; Tinnu Anand; Nushrat Bharucha,Jai Basantu Singh,Thinkink Picturez,1,1.6193882432872684,1,0.9919,1.0909,0,Friday,6,6.111,18.0,Rs5.5 Cr,Rs3.75 Cr,Rs1.1 Cr,Rs1.0 Cr,,Janhit_Mein_Jaari_2021,Janhit Mein Jaari,768466.0
Shabaash Mithu,2022,Hindi,post_covid,1.5699999928474426,ok,True,Biopic,Biopic,,,False,156.0,15 Jul 2022,False,Vijay Raaz; Zeel Thacker; Taapsee Pannu,Rahul Dholakia,Viacom 18 Studios,1,3.190638473438726,7,0.9919,0.9521,0,Friday,7,6.067,15.0,Rs1.4 Cr,Rs2.31 Cr,Rs0.2 Cr,Rs1.0 Cr,,Shabaash_Mithu_2021,Shabaash Mithu,911154.0
Nikamma,2022,Hindi,post_covid,1.409999996423721,ok,True,Action,Action,UA,UA,True,148.0,17 Jun 2022,False,Samir Soni; Abhimanyu Dassani; Abhimanyu Singh; Shilpa Shetty; Shirley Setia,Sabbir Khan,Sony Pictures Films India,1,1.1136613042467494,2,1.4846,1.3329,0,Friday,6,4.0,8.0,Rs0.8 Cr,Rs2.19 Cr,Rs0.2 Cr,Rs1.0 Cr,,Nikamma_2020,Nikamma,693841.0
Animal,2023,Hindi,post_covid,176.57999801635742,ok,True,"Action, Drama",Action,A,A,True,204.0,01 Dec 2023,False,Bobby Deol; Ranbir Kapoor; Anil Kapoor; Rashmika Mandanna; Tripti Dimri,Sandeep Vanga,T-Series,1,4.011979457272076,10,2.0903,5.1703,0,Friday,12,6.16,209.0,Rs915.0 Cr,Rs502.98 Cr,Rs255.0 Cr,Rs200.0 Cr,200.0,Animal_2022,Animal (2023 Indian film),781732.0
Pathaan,2023,Hindi,post_covid,148.0,ok,True,Action,Action,UA,U/A,True,146.0,25 Jan 2023,False,John Abraham; Shah Rukh Khan; Deepika Padukone,Siddharth Anand,Yash Raj Films,1,4.097317023316426,9,2.7656,3.9555,0,Wednesday,1,6.389,275.0,Rs1055.0 Cr,Rs524.53 Cr,Rs397.5 Cr,Rs250.0 Cr,250.0,Pathan_2022,Pathaan (film),864692.0
Gadar 2,2023,Hindi,post_covid,134.88000106811523,ok,True,"Action, Drama",Action,UA,U/A,True,173.0,11 Aug 2023,False,Sunny Deol; Manish Wadhwa; Utkarsh Sharma; Luv Sinha; Ameesha Patel; Simrat Kaur,Anil Sharma,Zee Studio,1,2.0751014579359324,3,1.3698,1.9767,1,Friday,8,5.86,57.0,Rs686.0 Cr,Rs525.7 Cr,Rs65.5 Cr,Rs75.0 Cr,75.0,Gadar_2_2022,Gadar 2,885331.0
Adipurush,2023,Hindi,post_covid,112.25,ok,True,"Historical, Mythology",Historical,U,U,True,179.0,16 Jun 2023,False,Sunny Singh; Vatsal Sheth; Prabhas; Saif Ali Khan; Sonal Chauhan; Kriti Sanon,Om Raut,T-Series,1,4.645916740768077,3,2.0942,2.3214,0,Friday,6,4.456,113.0,Rs393.0 Cr,Rs147.92 Cr,Rs50.0 Cr,Rs500.0 Cr,500.0,Adipurush_2022,Adipurush,734253.0
Tiger 3,2023,Hindi,post_covid,74.25,ok,True,"Action, Thriller",Action,UA,U/A 13+,True,156.0,12 Nov 2023,True,Salman Khan; Emraan Hashmi; Shah Rukh Khan; Katrina Kaif,Maneesh Sharma,Yash Raj Films,1,4.352756733365601,13,6.2148,4.7517,1,Sunday,11,5.64,68.0,Rs464.0 Cr,Rs276.62 Cr,Rs124.5 Cr,Rs300.0 Cr,300.0,Tiger_3,Tiger 3,720557.0
Kisi Ka Bhai Kisi Ki Jaan,2023,Hindi,post_covid,65.86000061035156,ok,True,Comedy,Comedy,UA,U/A,True,144.0,21 Apr 2023,True,Salman Khan; Venkatesh; Jassie Gill; Siddharth Nigam; Jagapati Babu; Vijender Singh; Raghav Juyal; Amrita Puri; Bhumika Chawla; Pooja Hegde; +2 more,Farhad Samji,Zee Studio,1,3.9967210580777537,12,6.2148,1.4025,0,Friday,4,5.074,34.0,Rs184.6 Cr,Rs110.94 Cr,Rs52.6 Cr,Rs100.0 Cr,100.0,Kabhi_Eid_Kabhi_Diwali_2021,Kisi Ka Bhai Kisi Ki Jaan,966719.0
Rocky Aur Rani Ki Prem Kahani,2023,Hindi,post_covid,45.89999961853027,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,168.0,28 Jul 2023,False,Ranveer Singh; Dharmendra; Alia Bhatt; Shabana Azmi; Jaya Bachchan,Karan Johar,Viacom 18 Studios,1,3.723856704951713,6,2.6703,2.4635,0,Friday,7,6.18,97.0,Rs357.5 Cr,Rs153.55 Cr,Rs175.0 Cr,Rs170.0 Cr,170.0,Rocky_Aur_Rani_Ki_Prem_Kahani_2022,Rocky Aur Rani Kii Prem Kahaani,848116.0
Tu Jhoothi Main Makkar,2023,Hindi,post_covid,44.170000076293945,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,164.0,08 Mar 2023,True,Ranbir Kapoor; Boney Kapoor; Anubhav Singh Bassi; Shraddha Kapoor; Dimple Kapadia,Luv Ranjan,T-Series,1,4.045570508258163,6,1.8231,1.9358,0,Wednesday,3,6.295,224.0,Rs223.0 Cr,Rs147.28 Cr,Rs48.0 Cr,Rs70.0 Cr,70.0,Tu_Jhoothi_Main_Makkar_2023,Tu Jhoothi Main Makkaar,611359.0
OMG 2,2023,Hindi,post_covid,43.109999656677246,ok,True,"Comedy, Drama, Social",Comedy,A,A,True,155.0,11 Aug 2023,False,Akshay Kumar; Pankaj Tripathi; Yami Gautam,Amit Rai,Wakaoo Films,1,3.7045723043955583,19,2.5409,1.6541,1,Friday,8,7.353,85.0,Rs221.75 Cr,Rs151.16 Cr,Rs43.0 Cr,Rs70.0 Cr,70.0,Oh_My_God_2022,OMG 2,888710.0
Fukrey 3,2023,Hindi,post_covid,34.66000032424927,ok,True,Comedy,Comedy,UA,UA,True,147.0,28 Sep 2023,False,Pulkit Samrat; Varun Sharma; Pankaj Tripathi; Ali Fazal; Manjot Singh; Richa Chaddha,Mrighdeep Singh Lamba,Excel Entertainment,1,3.602044899910274,8,0.9757,1.0877,1,Thursday,9,5.579,19.0,Rs127.75 Cr,Rs95.95 Cr,Rs14.5 Cr,Rs1.0 Cr,25.73,Fukrey_3_2021,Fukrey 3,805785.0
Satyaprem Ki Katha,2023,Hindi,post_covid,25.84999990463257,ok,True,"Comedy, Musical, Romantic",Comedy,,,False,144.0,29 Jun 2023,False,Rajpal Yadav; Kartik Aaryan; Gajraj Rao; Kiara Advani; Supriya Pathak,Sameer Vidwans,Nadiadwala Grandson Entertainment,1,3.588275425567621,4,1.9804,1.3589,0,Thursday,6,6.784,44.0,Rs118.5 Cr,Rs77.04 Cr,Rs26.0 Cr,Rs1.0 Cr,,Satyanarayan_Ki_Katha_2022,Satyaprem Ki Katha,1020376.0
Sam Bahadur,2023,Hindi,post_covid,25.550000190734863,ok,True,Biopic,Biopic,UA,UA,True,148.0,01 Dec 2023,False,Vicky Kaushal; Fatima Sana Shaikh; Sanya Malhotra,Meghna Gulzar,RSVP Movies,1,4.658331743507039,6,1.1601,2.147,0,Friday,12,6.961,38.0,Rs130.3 Cr,Rs93.95 Cr,Rs18.5 Cr,Rs1.0 Cr,54.78,Sam_Bahadur_2022,Sam Bahadur (film),814215.0
Shehzada,2023,Hindi,post_covid,20.200000286102295,ok,True,"Action, Drama",Action,U,U,True,145.0,17 Feb 2023,False,Sachin Khedekar; Paresh Rawal; Ronit Roy; Kartik Aaryan; Kriti Sanon; Manisha Koirala,Rohit Dhawan,T-Series,1,3.3855135932565052,6,2.0295,1.6787,0,Friday,2,5.617,47.0,Rs47.8 Cr,Rs32.02 Cr,Rs10.0 Cr,Rs65.0 Cr,65.0,Shehzada_2022,Shehzada (2023 film),884434.0
Mission Raniganj,2023,Hindi,post_covid,12.600000143051147,ok,True,"Biography, Drama",Biography,UA,U/A 13+,True,134.0,06 Oct 2023,False,Pawan Malhotra; Akshay Kumar; Ravi Kishan; Kumud Mishra; Parineeti Chopra,Tinu Suresh Desai,Pooja Entertainment,1,3.638500942005881,20,2.5409,1.186,0,Friday,10,6.56,25.0,Rs46.0 Cr,Rs34.17 Cr,Rs5.6 Cr,Rs1.0 Cr,,Capsule_Gill_2023,Mission Raniganj,1131409.0
IB 71,2023,Hindi,post_covid,7.179999828338623,ok,True,"Action, Spy, Thriller",Action,UA,UA,True,117.0,12 May 2023,False,Vishal Jethwa; Vidyut Jammwal; Anupam Kher; Dalip Tahil; Niharica Raizada,Sankalp Reddy,T-Series,1,2.6169735299490617,6,1.4582,0.9812,0,Friday,5,6.839,28.0,Rs29.7 Cr,Rs23.1 Cr,Rs2.2 Cr,Rs1.0 Cr,24.9,IB_71_2022,IB71,1114114.0
Ganapath - A Hero Is Born,2023,Hindi,post_covid,7.0,ok,True,"Action, Thriller",Action,,,False,133.0,20 Oct 2023,False,Tiger Shroff; Amitabh Bachchan; Elli AvrRam; Kriti Sanon,Vikas Bahl,Pooja Entertainment,1,3.7257150556217997,11,,,0,Friday,10,,,Rs18.0 Cr,Rs13.02 Cr,Rs2.5 Cr,Rs1.0 Cr,,Ganapath_2020,Ganapath,
Mrs Chatterjee Vs Norway,2023,Hindi,post_covid,6.420000076293945,ok,True,"Comedy, Drama",Comedy,,,False,144.0,17 Mar 2023,False,Anirban Bhattacharya; Jim Sarbh; Rani Mukerji; Neena Gupta,Ashima Chibber,Zee Studio,1,2.873265304992475,2,1.8698,2.0561,0,Friday,3,5.872,74.0,Rs38.3 Cr,Rs23.07 Cr,Rs11.0 Cr,Rs20.0 Cr,20.0,Mrs_Chatterjee_Vs_Norway_2022,Mrs. Chatterjee vs Norway,986594.0
1920: Horrors of the Heart,2023,Hindi,post_covid,5.419999957084656,ok,True,"Horror, Romantic, Thriller",Horror,A,A,True,123.0,23 Jun 2023,False,Randheer Rai; Rahul Dev; Danish Pandor; Amit Behl; Avika Gor; Ketaki Kulkarni,Krishna Bhatt,Motion Picture Capital,1,,0,1.0339,0.9539,0,Friday,6,3.167,12.0,Rs17.35 Cr,Rs13.02 Cr,Rs0.5 Cr,Rs1.0 Cr,,1920_Horrors_of_the_Heart_2023,1920: Horrors of the Heart,1142643.0
The Vaccine War,2023,Hindi,post_covid,4.899999976158142,ok,True,Drama,Drama,U,U,True,161.0,28 Sep 2023,False,Anupam Kher; Nana Patekar; Pallavi Joshi; Raima Sen; Sapthami Gowda,Vivek Ranjan Agnihotri,I Am Buddha,1,2.543361901331932,7,0.9179,0.8462,0,Thursday,9,5.8,18.0,Rs14.7 Cr,Rs10.33 Cr,Rs2.5 Cr,Rs1.0 Cr,10.79,The_Vaccine_War_2023,The Vaccine War,1046620.0
Tejas,2023,Hindi,post_covid,3.75,ok,True,"Biopic, Drama, Thriller",Biopic,UA,UA,True,112.0,27 Oct 2023,False,Varun Mitra; Kangana Ranaut; Anshul Chauhan,Sarvesh Mewara,RSVP Movies,1,2.824223171893197,5,1.1607,1.0797,0,Friday,10,4.0,11.0,Rs8.05 Cr,Rs6.2 Cr,Rs0.75 Cr,Rs1.0 Cr,,Tejas_2021,Tejas (film),737370.0
Ghoomer,2023,Hindi,post_covid,3.450000047683716,ok,True,"Drama, Sports",Drama,,,False,134.0,18 Aug 2023,False,Angad Bedi; Abhishek Bachchan; Saiyami Kher; Shabana Azmi,R. Balki,Hope productions,1,3.7813959610173646,3,1.4187,1.1637,0,Friday,8,8.15,10.0,Rs7.15 Cr,Rs4.97 Cr,Rs1.25 Cr,Rs1.0 Cr,,Ghoomer_2023,Ghoomer,1158378.0
The Great Indian Family,2023,Hindi,post_covid,3.450000047683716,ok,True,"Comedy, Drama",Comedy,UA,UA,True,112.0,22 Sep 2023,False,Kumud Mishra; Manoj Pahwa; Manushi Chhillar; Sadiya Siddiqui; Alka Amin,Vijay Krishna Acharya,Yash Raj Films,1,2.8893282268763065,6,1.1601,0.8116,0,Friday,9,4.917,12.0,Rs6.1 Cr,Rs5.17 Cr,Rs0.0 Cr,Rs1.0 Cr,,The_Great_Indian_Family_2023,The Great Indian Family,984092.0
Kuttey,2023,Hindi,post_covid,3.4200000762939453,ok,True,Thriller,Thriller,A,A,True,108.0,13 Jan 2023,True,Arjun Kapoor; Kumud Mishra; Naseeruddin Shah; Konkona Sen Sharma; Radhika Madan; Tabu,Aasmaan Bhardwaj,Vishal Bhardwaj Films,1,3.1699659295814313,7,2.4491,0.961,0,Friday,1,5.886,22.0,Rs8.47 Cr,Rs5.91 Cr,Rs1.5 Cr,Rs50.0 Cr,50.0,Kuttey_2022,Kuttey,864573.0
Thank You For Coming,2023,Hindi,post_covid,3.199999988079071,ok,True,"Comedy, Drama",Comedy,,,False,117.0,06 Oct 2023,False,Karan Kundra; Anil Kapoor; Bhumi Pednekar; Shibani Bedi; Shehnaaz Kaur Gill; Kusha Kapila; Dolly Singh,Karan Boolani,Balaji Motion Pictures,1,3.371642707853692,8,0.7319,0.8313,0,Friday,10,4.792,12.0,Rs9.6 Cr,Rs6.87 Cr,Rs1.6 Cr,Rs1.0 Cr,,Thank_You_For_Coming_2023,Thank You for Coming,957999.0
Khichdi 2,2023,Hindi,post_covid,3.0000000596046448,ok,True,Comedy,Comedy,U,U,True,122.0,17 Nov 2023,False,Rajeev Mehta; Jamnadas Majethia; Anang Desai; Supriya Pathak; Vandana Pathak; Kirti Kulhari,Aatish Kapadia,Zee Studio,1,,0,0.9963,0.9073,1,Friday,11,4.5,4.0,Rs5.25 Cr,Rs5.9 Cr,Rs0.0 Cr,Rs1.0 Cr,,Khichdi_2_2023,Khichdi 2: Mission Paanthukistan,1171106.0
Zwigato,2023,Hindi,post_covid,1.840000033378601,ok,True,"Comedy, Drama",Comedy,U,U,True,106.0,17 Mar 2023,False,Swanand Kirkire; Kapil Sharma; Shahana Goswami; Gul Panag; Sayani Gupta,Nandita Das,Nandita Das Initiatives,1,2.0281482347439392,1,0.8412,0.8887,0,Friday,3,6.429,14.0,Rs1.25 Cr,Rs2.1 Cr,Rs0.0 Cr,Rs1.0 Cr,,Zwigato_2022,Zwigato,1014060.0
Bheed,2023,Hindi,post_covid,1.75,ok,True,Drama,Drama,,,False,114.0,24 Mar 2023,False,Pankaj Kapoor; Rajkummar Rao; Ashutosh Rana; Bhumi Pednekar; Kritika Kamra; Dia Mirza,Anubhav Sinha,T-Series,1,2.549445167200281,12,2.7656,1.1707,0,Friday,3,6.026,19.0,Rs2.1 Cr,Rs2.26 Cr,Rs0.0 Cr,Rs1.0 Cr,,Bheed_2022,Bheed,1081726.0
Yaariyan 2,2023,Hindi,post_covid,1.600000023841858,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,148.0,20 Oct 2023,False,Yash Dasgupta; Pearl V Puri; Meezaan Jaffrey; Anaswara Rajan; Hira Warina; Divya Khosla Kumar; Priya Prakash Varrier,Radhika Rao,T-Series Films,1,,0,0.9112,1.4545,1,Friday,10,4.4,7.0,Rs3.5 Cr,Rs2.75 Cr,Rs0.25 Cr,Rs1.0 Cr,24.9999984,Yaariyan_2_2023,Yaariyan 2,1001241.0
Stree 2,2024,Hindi,post_covid,131.14999961853027,ok,True,"Comedy, Horror",Comedy,UA,U/A,True,149.0,15 Aug 2024,True,Aparshakti Khurana; Rajkummar Rao; Abhishek Banerjee; Pankaj Tripathi; Shraddha Kapoor,Amar Kaushik,Maddock Films,1,3.730740908208854,15,1.8231,2.432,1,Thursday,8,6.704,103.0,Rs857.15 Cr,Rs597.99 Cr,Rs144.0 Cr,Rs125.0 Cr,125.0,Stree_2_2024,Stree 2,1112426.0
Singham Again,2024,Hindi,post_covid,121.75,ok,True,"Action, Thriller",Action,UA,U/A,True,144.0,01 Nov 2024,True,Akshay Kumar; Tiger Shroff; Ranveer Singh; Jackie Shroff; Ajay Devgn; Arjun Kapoor; Deepika Padukone; Kareena Kapoor Khan,Rohit Shetty,Rohit Shetty Productions,1,3.741593985289833,24,2.5409,2.8151,1,Friday,11,4.956,45.0,Rs372.41 Cr,Rs247.86 Cr,Rs75.0 Cr,Rs325.0 Cr,325.0,Singham_3_2023,Singham Again,1014214.0
Bhool Bhulaiyaa 3,2024,Hindi,post_covid,106.0,ok,True,"Comedy, Horror",Comedy,UA,UA,True,158.0,01 Nov 2024,True,Rajpal Yadav; Kartik Aaryan; Vidya Balan; Madhuri Dixit; Tripti Dimri,Anees Bazmee,T-Series,1,3.4594804714806453,6,1.4091,1.2733,1,Friday,11,5.458,48.0,Rs400.35 Cr,Rs260.11 Cr,Rs89.0 Cr,Rs150.0 Cr,150.0,Bhool_Bhulaiyaa_3_2024,Bhool Bhulaiyaa 3,980599.0
Fighter,2024,Hindi,post_covid,96.0,ok,True,"Action, Thriller",Action,UA,UA,True,166.0,25 Jan 2024,False,Anil Kapoor; Karan Singh Grover; Hrithik Roshan; Akshay Oberoi; Deepika Padukone; Sanjeeda Shaikh,Siddharth Anand,Viacom 18 Studios,1,4.018527503671065,11,2.3104,4.4979,0,Thursday,1,6.151,166.0,Rs358.89 Cr,Rs212.79 Cr,Rs104.0 Cr,Rs250.0 Cr,250.0,Fighter_2022,Fighter (2024 film),784651.0
Shaitaan,2024,Hindi,post_covid,54.0,ok,True,"Horror, Thriller",Horror,UA,U/A,True,132.0,08 Mar 2024,False,R. Madhavan; Ajay Devgn; Janki Bodiwala; Jyothika,Vikas Bahl,Panorama Studios,1,3.7751805855722544,12,2.4951,1.8996,0,Friday,3,6.304,107.0,Rs213.79 Cr,Rs148.21 Cr,Rs37.5 Cr,Rs60.0 Cr,60.0,Shaitaan_2024,Shaitaan (2024 film),1187619.0
Crew,2024,Hindi,post_covid,29.5,ok,True,Thriller,Thriller,UA,UA,True,118.0,29 Mar 2024,False,,Rajesh Krishnan,Balaji Motion Pictures,0,2.0489791849783923,296,2.4921,4.1596,0,Friday,3,6.717,83.0,Rs151.63 Cr,Rs81.95 Cr,Rs55.0 Cr,Rs75.0 Cr,75.0,The_Crew_2023,Crew (film),1045931.0
Bade Miyan Chote Miyan,2024,Hindi,post_covid,24.86999988555908,ok,True,"Action, Comedy",Action,UA,U/A,True,164.0,11 Apr 2024,True,Akshay Kumar; Prithviraj Sukumaran; Tiger Shroff; Ronit Roy; Alaya Furniturewala; Sonakshi Sinha; Manushi Chhillar,Ali Abbas Zafar,Pooja Entertainment,1,3.5895280306370516,21,2.5409,3.4857,0,Thursday,4,6.132,53.0,Rs111.5 Cr,Rs65.32 Cr,Rs33.0 Cr,Rs1.0 Cr,341.13,Bade_Miyan_Chote_Miyan_2023,Bade Miyan Chote Miyan (2024 film),936622.0
Chandu Champion,2024,Hindi,post_covid,21.5,ok,True,"Drama, Sports",Drama,UA,UA,True,142.0,14 Jun 2024,False,Vijay Raaz; Kartik Aaryan; Rajpal Yadav; Bhagyashree Patwardhan,Kabir Khan,Nadiadwala Grandson Entertainment,1,3.5286735039346993,5,1.1261,1.7062,0,Friday,6,7.236,36.0,Rs89.24 Cr,Rs63.57 Cr,Rs13.75 Cr,Rs1.0 Cr,13.28,Chandu_Champion_2024,Chandu Champion,1020951.0
